Episode,totRewards,Stags,Forage,Maulings,Q_values
1,-217.0,0,2,73,0.030515175068030392
2,-140.0,0,1,47,0.06918297603726387
3,-175.0,0,2,59,0.08747282791882753
4,-160.0,0,5,55,0.1386612194776535
5,-179.0,0,1,60,0.18383118653669953
6,-86.0,2,2,36,0.26331764354370535
7,-168.0,0,0,56,0.36744262403808536
8,-109.0,1,1,40,0.39250192759092895
9,-145.0,0,5,50,0.4226393286185339
10,-165.0,0,6,57,0.44714872343698514
11,-135.0,0,3,46,0.4980447015236132
12,-150.0,0,0,50,0.499478446226567
13,-113.0,0,4,39,0.5360098180454225
14,-123.0,1,2,45,0.5796556855505333
15,-124.0,0,5,43,0.5812025779858232
16,-119.0,1,3,44,0.6227984502399341
17,-106.0,0,2,36,0.6661364056169987
18,-182.0,0,4,62,0.6913545589614659
19,-95.0,1,6,37,0.7166958688199521
20,-110.0,1,0,40,0.7315653301030397
21,-101.0,0,4,35,0.8029035747051239
22,-159.0,0,3,54,0.7933930290490389
23,-113.0,1,3,42,0.818204786516726
24,-112.0,0,2,38,0.8329130508005619
25,-136.0,0,2,46,0.8302828303724528
26,-152.0,0,1,51,0.8468215513974429
27,-106.0,1,1,39,0.8608889095857739
28,-137.0,0,1,46,0.8394977114349603
29,-130.0,0,2,44,0.848461238220334
30,-126.0,0,3,43,0.8369709040224552
31,-142.0,0,5,49,0.8732144134119153
32,-100.0,0,2,34,0.8800482922047377
33,-125.0,0,1,42,0.881263502985239
34,-162.0,0,0,54,0.8565827042981983
35,-114.0,0,3,39,0.8618384820967913
36,-112.0,0,2,38,0.8367862963676452
37,-137.0,0,4,47,0.8574765862524509
38,-125.0,0,4,43,0.8482595117017627
39,-131.0,0,1,44,0.8565739740431308
40,-141.0,2,4,55,0.8568152346462011
41,-142.0,0,2,48,0.872101134173572
42,-129.0,0,0,43,0.8910389126092195
43,-143.0,0,1,48,0.875444203093648
44,-131.0,1,6,49,0.8459146177768707
45,-119.0,0,1,40,0.8557835579663515
46,-101.0,0,4,35,0.8395487801358104
47,-100.0,0,2,34,0.8543843264132738
48,-156.0,0,3,53,0.8598645270057023
49,-102.0,0,6,36,0.8544978922605515
50,-63.0,0,3,22,0.868267980441451
51,-105.0,0,3,36,0.8476979924738407
52,-90.0,0,3,31,0.8448450190573931
53,-82.0,1,4,32,0.8730406492948533
54,-106.0,0,5,37,0.8788658583909273
55,-123.0,0,3,42,0.8821199213713408
56,-81.0,2,1,34,0.9262950138747692
57,-128.0,0,1,43,0.9363215356320143
58,-93.0,0,3,32,0.9478782653808594
59,-71.0,1,3,28,0.9488783495873213
60,-99.0,0,6,35,0.9696340475976467
61,-123.0,2,1,48,0.9500274685025215
62,-120.0,2,1,47,0.9554221899807454
63,-90.0,0,6,32,0.9742858803272247
64,-143.0,0,1,48,0.992683791667223
65,-94.0,0,2,32,0.9912081897258759
66,-91.0,1,1,34,0.9490049779415131
67,-77.0,2,5,34,0.9342665752768516
68,-111.0,0,3,38,0.9385479685664176
69,-106.0,0,8,38,0.9013937016576529
70,-107.0,0,1,36,0.9067188585549593
71,-100.0,0,2,34,0.9099351242184639
72,-109.0,0,2,37,0.8980238504707814
73,-111.0,0,3,38,0.8939811322838068
74,-123.0,0,3,42,0.8813605847582221
75,-99.0,0,0,33,0.8843172439932823
76,-133.0,0,5,46,0.8773991022258997
77,-91.0,0,2,31,0.8640941345319152
78,-101.0,0,1,34,0.8480140538513661
79,-103.0,0,5,36,0.838459821715951
80,-80.0,3,4,38,0.8498529103025794
81,-89.0,0,7,32,0.8384862653911114
82,-79.0,0,2,27,0.8389691986888647
83,-126.0,0,3,43,0.8230170990154148
84,-90.0,0,3,31,0.8009961868822575
85,-80.0,0,4,28,0.8142598043009639
86,-132.0,0,0,44,0.7956193609163165
87,-64.0,1,1,25,0.7929735686630011
88,-75.0,1,2,29,0.7962036118656397
89,-110.0,0,1,37,0.7865570180490613
90,-92.0,0,1,31,0.8050301703810692
91,-96.0,0,0,32,0.778375513330102
92,-114.0,0,3,39,0.7786204515397549
93,-53.0,0,4,19,0.7801999862492085
94,-98.0,3,4,44,0.7619272492825985
95,-86.0,0,4,30,0.771589108593762
96,-94.0,1,1,35,0.7709605433791876
97,-88.0,3,2,40,0.763046343177557
98,-77.0,0,4,27,0.7664842581748963
99,-113.0,0,4,39,0.7376506793498993
100,-72.0,0,3,25,0.7505549112707377
101,-76.0,0,2,26,0.7760121927782894
102,-90.0,0,0,30,0.7758674040436745
103,-54.0,0,3,19,0.7606669588387013
104,-81.0,1,5,32,0.7534802448749542
105,-72.0,0,6,26,0.7603699490055442
106,-81.0,0,6,29,0.7876929956674575
107,-79.0,0,5,28,0.7903122049570084
108,-64.0,2,0,28,0.7938718573749065
109,-99.0,0,6,35,0.8007543627917767
110,-75.0,5,1,42,0.8052225732803344
111,-68.0,0,1,23,0.7837851500511169
112,-116.0,0,4,40,0.7795707956701518
113,-79.0,1,1,30,0.7657224225997925
114,-137.0,0,1,46,0.7436688651517034
115,-117.0,2,1,46,0.765682613980025
116,-75.0,0,0,25,0.7618009216710925
117,-88.0,1,1,33,0.7649130549281835
118,-83.0,1,6,33,0.7754765994101763
119,-107.0,1,0,39,0.7732289924472571
120,-93.0,0,3,32,0.7688385608792305
121,-4.0,11,0,38,0.7411585910618306
122,-101.0,0,4,35,0.7648437083885073
123,-88.0,2,3,37,0.7769107822328806
124,-90.0,0,3,31,0.7653318076580763
125,-62.0,1,3,25,0.7728200057893991
126,-85.0,0,5,30,0.7700757536292077
127,-102.0,0,3,35,0.7713007321208716
128,-82.0,1,4,32,0.7649668702483177
129,-52.0,8,0,44,0.7592122109234333
130,-65.0,0,4,23,0.768302690833807
131,-3.0,9,0,31,0.7659587144851685
132,-84.0,0,9,31,0.7834292942285538
133,-74.0,0,1,25,0.7912425860762596
134,-78.0,0,6,28,0.7823764459788799
135,-75.0,1,5,30,0.7885703438520432
136,-98.0,4,0,46,0.7756201785057784
137,-75.0,0,3,26,0.7629866033419966
138,-101.0,0,1,34,0.7604758877307176
139,-69.0,1,2,27,0.7405057480931282
140,-93.0,0,3,32,0.7406349965929985
141,-97.0,0,5,34,0.7353473529219627
142,-89.0,0,1,30,0.7303785383701324
143,-46.0,4,4,30,0.7332551221549511
144,-4.0,7,1,25,0.736943813636899
145,-78.0,0,3,27,0.7367448269948363
146,-66.0,0,3,23,0.8231587711721658
147,-86.0,3,1,39,0.8351940973103047
148,-72.0,0,3,25,0.8613224904984236
149,-53.0,0,1,18,0.8712675610184669
150,4.0,10,0,32,0.8832661268115044
151,56.0,14,0,28,0.9393230792135
152,-12.0,5,1,21,0.9669080743938685
153,-17.0,7,3,30,0.9783580520749092
154,-40.0,2,3,21,1.0082877130806447
155,-92.0,1,3,35,1.021016853004694
156,-70.0,0,5,25,1.021039800643921
157,93.0,15,0,19,1.0559416556358336
158,-81.0,2,1,34,1.0731577010452746
159,-44.0,1,3,19,1.098277307897806
160,-75.0,0,0,25,1.1028562903404235
161,-21.0,6,0,27,1.0627303160727024
162,50.0,14,0,30,1.1057194923609495
163,17.0,14,0,41,1.2137342439591885
164,-79.0,4,1,40,1.3036896198987962
165,-33.0,0,3,12,1.301897302120924
166,19.0,11,2,31,1.3230730624496936
167,-53.0,7,0,41,1.338340716212988
168,-53.0,0,1,18,1.340488569587469
169,-47.0,0,4,17,1.3401335982978344
170,-96.0,0,0,32,1.331396464407444
171,8.0,8,3,25,1.317662805914879
172,-1.0,10,1,34,1.3472868086397647
173,10.0,8,2,24,1.3598711371421814
174,69.0,15,0,27,1.3866929300129414
175,92.0,15,2,20,1.4041937871277332
176,3.0,6,6,21,1.440878699719906
177,88.0,15,1,21,1.4663152116537095
178,73.0,13,0,19,1.5413026669621468
179,17.0,8,0,21,1.5584288996458053
180,24.0,12,0,32,1.5626252257823945
181,48.0,14,1,31,1.6243475687503814
182,141.0,18,0,13,1.6582617196440697
183,-40.0,0,2,14,1.7134439408779145
184,75.0,15,0,25,1.7520553866028785
185,90.0,15,0,20,1.7799768705666066
186,114.0,18,0,22,1.8302951869368553
187,15.0,14,1,42,1.9002111679315568
188,38.0,14,0,34,1.910862531363964
189,-4.0,7,1,25,1.9327046746015548
190,-32.0,3,1,21,1.9260943099856376
191,108.0,15,0,14,2.0336348488926888
192,130.0,18,1,17,2.072516062259674
193,27.0,9,3,22,2.121812427341938
194,58.0,14,2,28,2.185141894519329
195,108.0,15,0,14,2.196060549914837
196,106.0,15,1,15,2.348632270395756
197,125.0,16,1,12,2.391877502799034
198,91.0,12,1,10,2.433066495358944
199,73.0,13,0,19,2.5060125744342803
200,70.0,13,3,21,2.4808724516630174
201,117.0,18,0,21,2.577464075386524
202,99.0,14,1,14,2.534732584655285
203,79.0,12,1,14,2.5994976016879083
204,89.0,14,3,18,2.6241909778118133
205,107.0,14,0,11,2.637060154378414
206,120.0,17,1,17,2.826718099117279
207,63.0,13,2,23,2.847161823809147
208,83.0,16,1,26,2.8267131555080414
209,-50.0,0,1,17,2.8330890959501267
210,139.0,18,1,14,2.8678456962108614
211,81.0,15,0,23,2.963871641755104
212,103.0,16,0,19,2.9781033778190613
213,62.0,14,0,26,2.9937111127376554
214,105.0,18,0,25,3.008135448694229
215,133.0,19,0,19,3.0961531406641005
216,123.0,14,1,6,3.115778840780258
217,105.0,18,3,26,3.1205576050281523
218,143.0,20,0,19,3.1988101905584334
219,122.0,17,0,16,3.3072748786211013
220,-51.0,10,5,52,3.330688551068306
221,90.0,13,2,14,3.438805042505264
222,83.0,15,2,23,3.448464956283569
223,151.0,19,0,13,3.5477585220336914
224,136.0,18,1,15,3.579964226484299
225,72.0,15,0,26,3.605106855034828
226,101.0,14,0,13,3.632267607450485
227,137.0,20,0,21,3.6134491580724717
228,103.0,16,0,19,3.666952818632126
229,85.0,15,1,22,3.6983692371845245
230,146.0,17,0,8,3.7267103892564775
231,82.0,16,0,26,3.7783136242628097
232,144.0,18,0,12,3.75987271130085
233,128.0,17,0,14,3.8247660928964615
234,102.0,12,0,6,3.880430231690407
235,81.0,12,0,13,3.8765040212869644
236,124.0,17,2,16,3.968162607550621
237,112.0,15,1,13,3.9846475768089293
238,82.0,13,0,16,4.037165660858154
239,145.0,17,2,9,4.114136908054352
240,117.0,15,0,11,4.124791068434715
241,136.0,17,2,12,4.165420913100243
242,119.0,17,0,17,4.159524637460708
243,152.0,18,2,10,4.182610672712326
244,122.0,15,2,10,4.247605618238449
245,144.0,18,0,12,4.2536406064033505
246,154.0,19,0,12,4.312271745204925
247,119.0,17,0,17,4.327046966552734
248,124.0,18,1,19,4.353781823515892
249,112.0,16,0,16,4.406179156303406
250,154.0,19,0,12,4.444078595042229
251,127.0,16,0,11,4.435480136275292
252,124.0,15,1,9,4.465510206818581
253,140.0,17,0,10,4.476680092811584
254,153.0,20,1,16,4.497205185890198
255,96.0,15,0,18,4.530032781362533
256,175.0,22,0,15,4.542410849928856
257,167.0,19,1,8,4.571533848047256
258,180.0,21,0,10,4.579302780032158
259,126.0,16,2,12,4.606909512877464
260,112.0,15,1,13,4.624431909322738
261,138.0,17,1,11,4.667200960516929
262,167.0,20,0,11,4.681632908582688
263,166.0,21,1,15,4.652502127289772
264,105.0,15,0,15,4.67366447687149
265,155.0,19,1,12,4.679237387776375
266,148.0,19,0,14,4.703767429590226
267,160.0,18,1,7,4.740614147186279
268,161.0,20,0,13,4.734313765764236
269,178.0,19,0,4,4.771488490104676
270,162.0,20,1,13,4.813430831432343
271,146.0,17,0,8,4.806377980709076
272,172.0,19,0,6,4.824664865732193
273,161.0,20,0,13,4.83414852142334
274,153.0,18,3,10,4.876551842689514
275,149.0,17,0,7,4.836088210344315
276,147.0,18,0,11,4.811974149942398
277,154.0,18,1,9,4.818851684331894
278,113.0,17,3,20,4.84057450890541
279,119.0,17,0,17,4.8921255314350125
280,153.0,18,0,9,4.899325329065323
281,164.0,20,0,12,4.821778025627136
282,166.0,19,0,8,4.819513359069824
283,79.0,13,0,17,4.838421629667282
284,165.0,18,0,5,4.856746472120285
285,153.0,18,0,9,4.884239815473556
286,129.0,18,0,17,4.901063125133515
287,203.0,22,1,6,4.912880841493607
288,159.0,20,1,14,4.893776547312736
289,170.0,20,0,10,4.886316081285477
