Episode,totRewards,Stags,Forage,Maulings,Q_values
1,-217.0,0,2,73,-0.3132249182430062
2,-121.0,1,1,44,-0.5004257581720595
3,-175.0,0,2,59,-0.472358421186218
4,-160.0,0,5,55,-0.2999567564111203
5,-179.0,0,1,60,-0.30352176445536316
6,-118.0,0,2,40,-0.2530180065333843
7,-162.0,0,0,54,-0.20940691940952091
8,-119.0,0,4,41,-0.2308644296345301
9,-140.0,0,4,48,-0.1936023555509746
10,-132.0,0,3,45,-0.19189274002215825
11,-136.0,0,5,47,-0.16651138577377422
12,-127.0,2,0,49,-0.1788820401392877
13,-98.0,0,7,35,-0.15323305900208653
14,-148.0,0,2,50,-0.11684987041633577
15,-101.0,3,4,45,-0.12558169799856841
16,-131.0,0,4,45,-0.07083099990384653
17,-141.0,0,3,48,-0.05674436409492046
18,-168.0,0,3,57,-0.02609583925572224
19,-158.0,0,1,53,0.0026762935845181346
20,-154.0,0,2,52,0.006520654507912695
21,-108.0,0,3,37,0.05081831618677825
22,-122.0,1,3,45,0.036075761138927194
23,-143.0,0,4,49,0.09341545923729427
24,-160.0,0,2,54,0.12456679806811735
25,-155.0,0,4,53,0.13511345378588885
26,-95.0,3,4,43,0.1651229911413975
27,-132.0,0,6,46,0.1719376317318529
28,-118.0,0,2,40,0.17401046293554828
29,-125.0,0,1,42,0.18898829352110624
30,-154.0,0,2,52,0.20150239747483284
31,-85.0,0,8,31,0.23867547869682312
32,-130.0,1,1,47,0.2436858974234201
33,-132.0,1,5,49,0.252626032885164
34,-149.0,0,1,50,0.2568357517104596
35,-103.0,0,2,35,0.24911820725072176
36,-136.0,0,2,46,0.2825587938213721
37,-164.0,0,4,56,0.28879736981587484
38,-124.0,0,5,43,0.29216073716059326
39,-108.0,1,2,40,0.2867374907503836
40,-147.0,0,6,51,0.28496586756780745
41,-116.0,1,3,43,0.3119051807024516
42,-169.0,0,2,57,0.32984028465580195
43,-147.0,0,3,50,0.3241160105913877
44,-102.0,0,3,35,0.3276204298296943
45,-151.0,0,2,51,0.3290993831935339
46,-125.0,0,4,43,0.36546288872137667
47,-109.0,0,2,37,0.36499698790488766
48,-127.0,0,2,43,0.39514165150467306
49,-135.0,1,2,49,0.41636632692068815
50,-96.0,2,1,39,0.4358993020094931
51,-100.0,0,5,35,0.4506580888107419
52,-88.0,0,2,30,0.4632110668346286
53,-79.0,0,5,28,0.4723550344444811
54,-109.0,0,2,37,0.5038035137951374
55,-125.0,0,1,42,0.49601542498450724
56,-103.0,2,0,41,0.5236341908108443
57,-124.0,0,5,43,0.5269208813691512
58,-154.0,1,1,55,0.5742579035647214
59,-71.0,0,4,25,0.5808387331664562
60,-96.0,0,3,33,0.5919647749140858
61,-155.0,0,1,52,0.5965845607221126
62,-102.0,0,6,36,0.594284421056509
63,-107.0,0,4,37,0.6059280486777425
64,-107.0,0,1,36,0.6190518477372825
65,-107.0,0,7,38,0.6199204427283257
66,-116.0,0,1,39,0.5957531900145113
67,-102.0,0,3,35,0.5971736614406109
68,-99.0,0,3,34,0.607659511230886
69,-134.0,0,1,45,0.6044803696870804
70,-92.0,0,4,32,0.6101637210324407
71,-97.0,2,6,41,0.6051356356870383
72,-109.0,0,2,37,0.5904936292208731
73,-94.0,0,5,33,0.5697557160630822
74,-121.0,0,2,41,0.5764771577157081
75,-118.0,0,5,41,0.5765169165283441
76,-137.0,0,4,47,0.5661718911863863
77,-95.0,0,4,33,0.5542452317383141
78,-155.0,1,3,56,0.553631711169146
79,-85.0,0,5,30,0.556840042565018
80,-89.0,0,1,30,0.5661584977433085
81,-93.0,0,6,33,0.533842044826597
82,-72.0,0,3,25,0.5367347350157797
83,-97.0,0,2,33,0.5414999390766024
84,-104.0,0,1,35,0.5518878138996661
85,-128.0,0,1,43,0.5536025293171406
86,-117.0,0,3,40,0.5509126309864223
87,-63.0,0,6,23,0.5358295216597617
88,-117.0,0,0,39,0.5449623188190162
89,-97.0,0,2,33,0.5555353447236121
90,-90.0,0,9,33,0.5659714620932936
91,-105.0,0,0,35,0.5097349861962721
92,-85.0,0,8,31,0.5263614708930254
93,-52.0,1,7,23,0.5383991871308536
94,-163.0,0,2,55,0.5308498095255345
95,-72.0,0,6,26,0.5268355671688915
96,-104.0,0,7,37,0.5477354533690959
97,-78.0,0,0,26,0.5367439106572419
98,-102.0,0,3,35,0.5409317835187539
99,-96.0,0,3,33,0.5457352318055928
100,-76.0,1,4,30,0.5487549744918943
101,-132.0,0,3,45,0.5806989124137908
102,-99.0,1,2,37,0.5928713310416788
103,-64.0,0,2,22,0.5979225892014801
104,-80.0,1,6,32,0.5922283631376922
105,-60.0,1,2,24,0.6111044595763088
106,-67.0,0,2,23,0.5935941122658551
107,-71.0,1,0,27,0.5933224535174668
108,-84.0,1,5,33,0.5817585940565914
109,-113.0,2,5,46,0.5774827178008854
110,-79.0,8,0,53,0.5813092166464776
111,-69.0,0,0,23,0.5785102380625904
112,-88.0,0,2,30,0.5863264801353216
113,-54.0,1,2,22,0.6080361151881516
114,-70.0,3,2,34,0.5934631661884486
115,-83.0,0,1,28,0.6020999381970614
116,-101.0,0,4,35,0.5798391169682146
117,-64.0,0,5,23,0.5768260372057558
118,-60.0,0,9,23,0.5660967909172178
119,-88.0,0,2,30,0.5608942088484764
120,-89.0,0,4,31,0.5585976698528975
121,-91.0,0,5,32,0.5840102868434042
122,-41.0,0,4,15,0.5701170448958873
123,-83.0,0,1,28,0.571351924110204
124,-36.0,0,3,13,0.5813927635550499
125,-81.0,0,0,27,0.570459666447714
126,-116.0,0,4,40,0.5693969472125172
127,-77.0,0,4,27,0.5728608029708266
128,-72.0,1,2,28,0.585653054206632
129,-110.0,0,4,38,0.5937939648982138
130,-91.0,0,2,31,0.5926420472143218
131,-95.0,0,4,33,0.5976888493821025
132,-47.0,4,0,29,0.6052467153593898
133,-74.0,0,4,26,0.5899720494449139
134,-83.0,1,3,32,0.6071379680931568
135,-60.0,2,1,27,0.6247260553203523
136,-54.0,1,8,24,0.6317587946727872
137,-75.0,0,3,26,0.6144843942020088
138,-83.0,0,7,30,0.627997701568529
139,-89.0,0,7,32,0.6377069218084216
140,-45.0,1,2,19,0.641804562904872
141,-57.0,1,2,23,0.6305779034178705
142,-61.0,2,3,28,0.647435855884105
143,-62.0,4,0,34,0.6553151715919375
144,-99.0,5,1,50,0.6853009144216776
145,-45.0,4,2,29,0.6916985153593123
146,-49.0,0,5,18,0.6896949433442205
147,-55.0,0,5,20,0.6891051988117397
148,-75.0,4,2,39,0.6912992816232145
149,-40.0,1,1,17,0.7189162534102798
150,-80.0,3,1,37,0.7213733691349625
151,-67.0,0,5,24,0.7268711898475886
152,-129.0,0,6,45,0.7291096263751388
153,-62.0,2,2,28,0.7232998459786176
154,-95.0,0,1,32,0.7394314199313521
155,-91.0,0,2,31,0.7333772933855652
156,-63.0,0,3,22,0.7439766492694616
157,-45.0,2,7,24,0.7255678087100387
158,-58.0,1,4,24,0.7278635317459703
159,-70.0,0,2,24,0.7030123258382082
160,-58.0,0,11,23,0.6927285829931498
161,-87.0,1,5,34,0.6697485618665815
162,-53.0,0,1,18,0.6792497257515788
163,-36.0,3,0,22,0.6699401643872261
164,-90.0,0,6,32,0.6390237327851355
165,-66.0,0,6,24,0.6490496071055532
166,-77.0,1,6,31,0.6455073191598057
167,-36.0,6,3,33,0.6418673879653215
168,-72.0,3,0,34,0.65363913429901
169,-58.0,5,0,36,0.6569117549806833
170,-36.0,9,0,42,0.6763661902584136
171,-16.0,9,2,36,0.7189969205483794
172,-22.0,9,2,38,0.7467730864137411
173,-65.0,3,4,33,0.7720280592888593
174,-47.0,0,4,17,0.7618683741241693
175,-79.0,0,5,28,0.762640720307827
176,-61.0,1,7,26,0.7467154940217733
177,-57.0,0,3,20,0.7468521402031183
178,-60.0,1,5,25,0.7323203207552433
179,-43.0,9,2,45,0.747206192985177
180,-45.0,4,8,31,0.7612016021460295
181,29.0,10,4,25,0.8019331958889961
182,-44.0,0,7,17,0.7877824440598488
