Episode,totRewards,Stags,Forage,Maulings,Q_values
1,-217.0,0,2,73,-0.2064949984587457
2,-127.0,1,1,46,-0.4557220665179193
3,-175.0,0,2,59,-0.32021474905312064
4,-160.0,0,5,55,-0.29911072678864004
5,-182.0,0,1,61,-0.3061148502677679
6,-108.0,1,2,40,-0.14423647351562977
7,-153.0,0,0,51,-0.09255648590624332
8,-168.0,0,3,57,-0.0693806117027998
9,-137.0,0,7,48,-0.005523141981102526
10,-144.0,0,3,49,0.016696733133867384
11,-129.0,0,3,44,0.0761999369924888
12,-144.0,0,0,48,0.08852772726211697
13,-118.0,0,2,40,0.12172018712386488
14,-127.0,1,4,47,0.16208654364570976
15,-180.0,0,3,61,0.17471071009058506
16,-118.0,1,1,43,0.22872973565012217
17,-113.0,0,4,39,0.2421843278571032
18,-159.0,1,2,57,0.2853784635476768
19,-108.0,0,3,37,0.31220356814563277
20,-146.0,0,4,50,0.31330101169180125
21,-87.0,0,6,31,0.3912182062584907
22,-116.0,0,4,40,0.3967007983964868
23,-148.0,0,5,51,0.42323694134131074
24,-144.0,0,3,49,0.43436567751690747
25,-140.0,0,4,48,0.42678385332226754
26,-160.0,0,2,54,0.4730262935813516
27,-130.0,0,2,44,0.4817843473190442
28,-111.0,0,3,38,0.4582481779763475
29,-140.0,3,1,57,0.4596239195810631
30,-112.0,0,2,38,0.46343766905367373
31,-137.0,0,4,47,0.4824009038694203
32,-120.0,0,3,41,0.48356972688343375
33,-86.0,1,3,33,0.4918332612980157
34,-100.0,1,1,37,0.5063154411502182
35,-108.0,0,6,38,0.497402930133976
36,-132.0,0,3,45,0.5020007739937864
37,-134.0,0,7,47,0.4935170871857554
38,-98.0,0,4,34,0.4932213825173676
39,-146.0,0,4,50,0.4830961418244988
40,-144.0,0,0,48,0.4901309391343966
41,-102.0,1,2,38,0.5374673875281587
42,-123.0,2,4,49,0.531960201766342
43,-117.0,0,3,40,0.5359454596415162
44,-112.0,0,5,39,0.515450348360464
45,-91.0,0,5,32,0.5165321073774248
46,-123.0,0,6,43,0.5382523491652682
47,-130.0,1,4,48,0.5356519118417055
48,-93.0,2,1,38,0.5520597123354674
49,-127.0,0,5,44,0.5391729864384979
50,-128.0,0,4,44,0.5553370380774141
51,-110.0,0,1,37,0.5286772881727666
52,-88.0,0,5,31,0.5316477173380554
53,-92.0,0,1,31,0.5374494992895051
54,-107.0,0,4,37,0.5225316955847665
55,-123.0,0,0,41,0.528666847506538
56,-104.0,0,1,35,0.5240632744692266
57,-131.0,0,1,44,0.5123498322814704
58,-135.0,0,0,45,0.5280122643522919
59,-88.0,0,5,31,0.5121456626430154
60,-110.0,0,1,37,0.5149854577332735
61,-138.0,0,0,46,0.5062421716377139
62,-91.0,1,4,35,0.5106134486477822
63,-115.0,0,8,41,0.5108320380374789
64,-122.0,0,1,41,0.49187995817512276
65,-73.0,2,3,32,0.5007906800508499
66,-134.0,0,1,45,0.5146613157540559
67,-97.0,0,5,34,0.5110626551136375
68,-87.0,1,2,33,0.5142126844171435
69,-105.0,0,3,36,0.510028195977211
70,-89.0,0,1,30,0.5220411197189242
71,-142.0,0,5,49,0.4954807492531836
72,-83.0,0,4,29,0.47996232952922585
73,-109.0,0,2,37,0.47860460247844455
74,-109.0,0,2,37,0.4666828053072095
75,-81.0,0,6,29,0.46428277470171453
76,-103.0,0,5,36,0.48203143652528524
77,-83.0,0,1,28,0.4872520524635911
78,-153.0,0,3,52,0.47069636343978344
79,-90.0,0,6,32,0.4412749227043241
80,-110.0,0,1,37,0.456689082197845
81,-102.0,0,0,34,0.43306186912581324
82,-92.0,0,4,32,0.4377109228633344
