Episode,totRewards,Stags,Forage,Maulings,Q_values
1,-217.0,0,2,73,0.2503784980937621
2,-148.0,0,2,50,0.22120089164469392
3,-175.0,0,2,59,0.45244230796117335
4,-160.0,0,5,55,0.6130026856763289
5,-179.0,0,1,60,0.7946600828319788
6,-78.0,2,4,34,0.8677341466397047
7,-159.0,0,0,53,0.9119139413908124
8,-122.0,0,4,42,0.8986727604456246
9,-147.0,0,9,52,0.9797664611041546
10,-113.0,2,2,45,0.9136249568685889
11,-155.0,0,4,53,1.0140376252681016
12,-149.0,1,0,53,1.0714835228025914
13,-109.0,0,5,38,0.9860360740870238
14,-123.0,3,3,52,1.0486484767496587
15,-130.0,0,2,44,1.150987717807293
16,-161.0,1,3,58,1.1231653083860875
17,-121.0,0,5,42,1.1805436081439256
18,-148.0,1,4,54,1.2264091000705957
19,-130.0,0,2,44,1.2185178017616272
20,-157.0,0,2,53,1.2633332171291114
21,-129.0,1,2,47,1.2008860735595226
22,-146.0,0,1,49,1.209490086659789
23,-164.0,0,1,55,1.1347627617418765
24,-126.0,0,3,43,1.1538532271981239
25,-110.0,0,1,37,1.1869742821156979
26,-124.0,1,7,47,1.1612251900322734
27,-128.0,0,4,44,1.1087630083411932
28,-125.0,0,1,42,1.1079615113884211
29,-144.0,0,3,49,1.0660381078347563
30,-171.0,0,0,57,1.0661227683722974
31,-117.0,1,2,43,1.059089581258595
32,-153.0,0,0,51,1.0089148564636707
33,-122.0,0,4,42,1.0280525586754083
34,-120.0,0,6,42,0.9839967004209756
35,-119.0,0,4,41,0.9493727418407798
36,-128.0,1,3,47,0.9578839712217451
37,-181.0,1,4,65,0.9593510100990534
38,-114.0,0,6,40,1.0573570690304042
39,-146.0,1,3,53,1.0415788380801678
40,-132.0,0,3,45,1.0083991540968418
41,-112.0,0,2,38,0.9689753200858832
42,-133.0,0,5,46,0.9497905191034078
43,-143.0,1,3,52,0.9546716682612896
44,-94.0,3,2,42,1.0164688898622989
45,-111.0,0,3,38,1.0278790641576052
46,-170.0,0,1,57,0.9616816548258066
47,-89.0,1,3,34,0.978616409227252
48,-118.0,1,4,44,0.9440330018475652
49,-136.0,0,5,47,0.9264834275841713
50,-80.0,1,6,32,0.9013619619607925
51,-112.0,0,2,38,0.939851781502366
52,-116.0,0,4,40,1.0114999005943537
53,-129.0,0,3,44,0.9596822626888752
54,-119.0,1,0,43,0.9928256594389677
55,-164.0,0,1,55,0.9496545428037644
56,-96.0,1,2,36,0.9009006105363369
57,-124.0,0,2,42,0.934051396176219
58,-157.0,1,1,56,0.8927286647073924
59,-105.0,0,6,37,0.9034275971353054
60,-118.0,0,5,41,0.8487086904421449
61,-160.0,3,2,64,0.8361935877799987
62,-110.0,1,3,41,0.8826353343948722
63,-112.0,0,2,38,0.8673109026253223
64,-142.0,0,2,48,0.9208768235519529
65,-88.0,1,4,34,0.8455351568385958
66,-121.0,2,0,47,0.8129317764192819
67,-78.0,2,1,33,0.8243474383000284
68,-68.0,0,1,23,0.7695195203274489
69,-125.0,0,1,42,0.7909682420268654
70,-78.0,0,3,27,0.7633398536406457
71,-125.0,0,1,42,0.8281564801651985
72,-126.0,0,3,43,0.7815801338851451
73,-97.0,0,2,33,0.8092867941036821
74,-145.0,0,2,49,0.8332184621691704
75,-75.0,2,4,33,0.745656179189682
76,-109.0,0,8,39,0.8362827650830149
77,-91.0,0,5,32,0.8175181402266025
78,-115.0,0,5,40,0.7774074844270945
79,-92.0,0,7,33,0.7666235721856356
80,-112.0,0,2,38,0.8096249797940254
81,-77.0,0,7,28,0.793468777090311
82,-103.0,0,2,35,0.8009969417750835
83,-88.0,0,5,31,0.7920214278250932
84,-97.0,0,2,33,0.7446672671660781
85,-118.0,0,2,40,0.7523205124400556
86,-85.0,0,2,29,0.7225810077786445
87,-62.0,0,1,21,0.7716667690500617
88,-112.0,0,5,39,0.7320155007019639
89,-69.0,0,3,24,0.701480598449707
90,-95.0,0,4,33,0.7028900142014026
91,-108.0,0,3,37,0.6996999417990446
92,-95.0,0,4,33,0.7534431151673198
93,-65.0,0,4,23,0.733514835871756
94,-112.0,0,2,38,0.7295299223065377
95,-86.0,0,4,30,0.6895462831296026
96,-101.0,0,1,34,0.7032250672578811
97,-72.0,0,0,24,0.7691231617331504
98,-97.0,0,5,34,0.7384466060996056
99,-108.0,0,6,38,0.6663847649469972
100,-83.0,0,4,29,0.7364646852388979
101,-77.0,0,4,27,0.6860838442109525
102,-124.0,0,5,43,0.6785233404301106
103,-59.0,1,6,25,0.6702837696671486
104,-133.0,0,2,45,0.6647542661428452
105,-82.0,0,5,29,0.6891098913550376
106,-58.0,0,5,21,0.7052239621803165
107,-75.0,0,3,26,0.6761060592718422
108,-97.0,1,1,36,0.6991295257210731
109,-104.0,0,4,36,0.6733566835708916
110,-40.0,1,1,17,0.6608137979358435
111,-116.0,1,3,43,0.66319197550416
112,-94.0,0,2,32,0.627618444301188
113,-78.0,0,6,28,0.6275328331440687
114,-88.0,1,1,33,0.6024710906948895
115,-111.0,0,0,37,0.602357908859849
116,-60.0,2,1,27,0.630239804154262
117,-66.0,0,6,24,0.6049178441613913
118,-68.0,0,4,24,0.6270257724169642
119,-106.0,1,1,39,0.6232945189904422
120,-104.0,0,1,35,0.6257650253176689
121,-86.0,0,4,30,0.587878824416548
122,-92.0,0,1,31,0.5969888479635119
123,-50.0,4,3,31,0.593602079320699
124,-78.0,1,2,30,0.5937960441596806
125,-109.0,0,2,37,0.62613968513906
126,-79.0,0,8,29,0.5988869135268032
127,-91.0,0,2,31,0.6065942202461884
128,-66.0,0,3,23,0.5790702511649579
129,-94.0,0,2,32,0.5771106263622642
130,-99.0,0,3,34,0.5931971887592227
131,-89.0,0,4,31,0.5862705790437758
132,-71.0,0,4,25,0.6007105956971646
133,-101.0,1,3,38,0.6146189969591797
134,-82.0,0,5,29,0.6597138124331832
135,-95.0,0,1,32,0.5763332001678646
136,-102.0,1,2,38,0.675619514323771
137,-94.0,0,2,32,0.6086432208609768
138,-103.0,0,2,35,0.6208087585680186
139,-84.0,0,3,29,0.6008799358829856
140,-86.0,0,1,29,0.6255457267351449
141,-71.0,1,3,28,0.5972250270843505
142,-80.0,0,4,28,0.5767275629006327
143,-85.0,0,2,29,0.5660533874109387
144,-61.0,0,2,21,0.5740673116594553
145,-75.0,0,0,25,0.5619774495437742
146,-50.0,0,4,18,0.551664789346978
147,-54.0,0,0,18,0.5609892667457461
148,-75.0,0,3,26,0.5777100443840026
149,-63.0,1,5,26,0.5742987617384643
150,-63.0,0,6,23,0.5442938103433699
151,-91.0,0,2,31,0.5535901735350489
152,-33.0,0,6,13,0.595467289518565
153,-60.0,0,3,21,0.5733542766934261
154,-70.0,0,2,24,0.6036774944281206
155,-77.0,0,4,27,0.5296217612735927
156,-90.0,0,3,31,0.5795932989334688
157,-72.0,0,0,24,0.5169392903381959
158,-88.0,0,5,31,0.5232413903577253
159,-62.0,0,1,21,0.5109438120014965
160,-59.0,0,4,21,0.5941668296512216
161,-91.0,1,1,34,0.5665954303555191
162,-68.0,0,4,24,0.5588954503275454
163,-30.0,3,3,21,0.53893552927766
164,-111.0,0,6,39,0.5515084724407643
165,-30.0,0,3,11,0.5325067060347647
166,-74.0,0,1,25,0.5371377974469215
167,-88.0,0,2,30,0.5200324196554721
168,-48.0,0,6,18,0.5360401602601632
169,-59.0,0,1,20,0.5434865837125108
170,-108.0,0,3,37,0.5476513855997474
171,26.0,13,1,35,0.6224501891620458
172,-11.0,7,3,28,0.5861159516777843
173,-68.0,0,4,24,0.6181332848872989
174,-98.0,1,0,36,0.5832539848145097
175,-52.0,0,5,19,0.5919340608268976
176,-3.0,4,5,16,0.6181662146979943
177,-76.0,2,0,32,0.6244900007918477
178,-51.0,4,2,31,0.7004063642024994
179,-90.0,3,0,40,0.723820591121912
180,-57.0,0,6,21,0.7348755076527596
181,-108.0,0,3,37,0.7926593039929867
182,-71.0,1,0,27,0.7390480168908834
183,-75.0,1,5,30,0.8236623380333186
184,-67.0,0,5,24,0.7444934511557222
185,-9.0,6,0,23,0.8683679708093405
186,-87.0,2,1,36,0.9047056332230567
187,-23.0,7,3,32,1.0172258903086187
188,-91.0,4,1,44,0.9800565648823977
189,-73.0,0,2,25,0.9682935414463282
190,51.0,10,2,17,0.9937230702489614
191,-43.0,4,1,28,1.0667098828405142
192,83.0,14,0,19,1.1515813513100148
193,-51.0,1,2,21,1.2119847306609153
194,116.0,17,0,18,1.3584779971837997
195,70.0,13,0,20,1.4911208771169187
196,28.0,10,3,25,1.7297842818498612
197,40.0,12,1,27,1.4810931655764579
198,125.0,20,0,25,1.6391640794277191
199,7.0,6,1,18,1.828134632408619
200,-46.0,3,2,26,1.6877195724844933
201,40.0,13,0,30,1.7851868756115437
202,126.0,20,1,25,1.6854367101192473
203,166.0,19,0,8,1.900474070906639
204,71.0,14,0,23,1.9339719074964523
205,-70.0,10,1,57,2.120770362019539
206,86.0,17,0,28,2.117206271290779
207,4.0,13,3,43,2.092476758658886
208,63.0,17,1,36,2.2175259733200074
209,0.0,11,1,37,2.2284277579188347
210,44.0,11,0,22,2.3514876857399942
211,14.0,9,2,26,2.3633567854762076
212,144.0,18,0,12,2.5313986900448797
213,118.0,16,0,14,2.4839386051893233
214,44.0,13,1,29,2.772959741950035
215,25.0,11,2,29,2.6946424782276153
216,107.0,16,1,18,2.955247536301613
217,94.0,19,0,32,2.917594836354256
218,-17.0,9,1,36,2.9991580572724343
219,147.0,18,0,11,2.9744847139716146
220,59.0,14,0,27,3.0698804020881654
221,131.0,16,1,10,3.1172692263126374
222,175.0,21,1,12,3.262957438826561
223,50.0,13,1,27,3.319975901246071
224,18.0,10,5,29,3.283546079993248
225,2.0,10,1,33,3.3397179800271988
226,131.0,17,0,13,3.2681448823213577
227,165.0,17,1,2,3.4334463608264922
228,73.0,16,0,29,3.554801258444786
229,118.0,19,0,24,3.62410060942173
230,106.0,16,0,18,3.4643145430088045
231,133.0,19,0,19,3.700590499043465
232,9.0,13,2,41,3.6277307295799255
233,93.0,15,0,19,3.7098932772874833
234,-25.0,9,2,39,3.6902484959363937
235,153.0,21,0,19,3.8452860850095747
236,137.0,17,0,11,3.9924770575761794
237,88.0,16,0,24,4.044218615293503
238,141.0,17,1,10,4.117157632708549
239,134.0,17,0,12,4.212936535477638
240,161.0,20,0,13,4.185216738581658
241,-75.0,5,1,42,4.245412471890449
242,-131.0,0,1,44,4.219141807556152
243,181.0,22,0,13,4.17476450920105
244,141.0,18,0,13,4.277429062724114
245,-23.0,10,0,41,4.307793459296226
246,61.0,12,1,20,4.148473675251007
247,76.0,13,0,18,4.237968679070473
248,130.0,19,0,20,4.252152499556542
249,116.0,17,0,18,4.138474904298782
250,111.0,17,1,20,4.40797591984272
251,179.0,20,0,7,4.374940882921219
252,20.0,14,0,40,4.315131244659423
253,139.0,18,1,14,4.427172930240631
254,89.0,16,1,24,4.558378058075905
255,118.0,16,0,14,4.365727811455726
256,60.0,11,1,17,4.408385152220726
257,-33.0,3,0,21,4.492176201343536
258,70.0,13,0,20,4.461513088941574
259,144.0,19,2,16,4.461381292939186
260,180.0,20,1,7,4.513541566729546
261,157.0,19,3,12,4.404221175312996
262,142.0,16,0,6,4.554119032621384
263,55.0,13,0,25,4.449681858420372
264,118.0,16,0,14,4.30775023162365
265,121.0,19,0,23,4.40068322122097
266,128.0,16,1,11,4.458116122484207
267,15.0,14,1,42,4.497260690927505
268,178.0,22,0,14,4.51953000664711
269,163.0,19,0,9,4.49522947192192
270,127.0,16,0,11,4.524072341918945
271,154.0,18,1,9,4.544179917573929
272,98.0,14,0,14,4.452061923146248
273,135.0,18,0,15,4.48753193616867
274,141.0,18,0,13,4.4438857156038285
275,104.0,17,0,22,4.579789687395095
276,204.0,23,1,9,4.543871167898178
277,195.0,22,2,9,4.5953576076030735
278,118.0,16,0,14,4.590455481410027
279,157.0,19,0,11,4.663299850225449
280,150.0,18,0,10,4.627964875102043
281,89.0,16,1,24,4.561832712292671
282,190.0,22,0,10,4.536288935542107
283,129.0,17,1,14,4.693440096974373
